serial,serial_norm,color,last_seen,stockout_date,reorder_date,last_ship_date,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,offset_days,should_order_now,slope_7d,slope_14d,slope_30d,var_14d,cycle_age_days,points_in_cycle,days_since_reset,pct,mean_ship_interval,n_ships_180d,err_days
210240,210240,black,2025-07-08,,,,0,1,,0.0,,0,False,-0.5714285714285714,-0.5,-0.6551724137931034,0.5769230769230117,88,87,88.0,36,,,-66.0
210240,210240,black,2025-10-05,2025-11-21,2025-11-21,,1,29,-0.5495,36.0,47.3,0,False,-0.5714285714285714,-0.5,-0.6551724137931034,0.5769230769230117,88,87,88.0,36,,,-66.0
210240,210240,cyan,2025-07-08,,,2025-09-16,0,1,,0.0,,1,False,-0.42857142857142855,-0.42857142857142855,-1.0344827586206897,0.4175824175824241,88,87,88.0,1,,1.0,-18.0
210240,210240,cyan,2025-10-05,2025-10-05,2025-10-04,2025-09-16,1,29,-0.8691,1.0,0.0,1,True,-0.42857142857142855,-0.42857142857142855,-1.0344827586206897,0.4175824175824241,88,87,88.0,1,,1.0,-18.0
2YM34245,2YM34245,black,2024-01-30,,,2025-06-02,0,28,,0.0,,0,False,-0.7142857142857143,-0.42857142857142855,-0.3275862068965517,0.5714285714286471,99,98,99.0,75,539.0,1.0,-25.0
2YM34245,2YM34245,black,2025-06-27,2025-06-27,2025-06-27,2025-06-02,1,31,-0.3863,1.0,0.0,0,True,-0.7142857142857143,-0.42857142857142855,-0.3275862068965517,0.5714285714286471,99,98,99.0,75,539.0,1.0,-25.0
2YM34245,2YM34245,black,2025-10-05,2026-06-02,2026-06-02,2025-06-02,2,29,-0.27,75.0,240.7,0,False,-0.7142857142857143,-0.42857142857142855,-0.3275862068965517,0.5714285714286471,99,98,99.0,75,539.0,1.0,-25.0
2YM34260,2YM34260,black,2024-01-31,,,2025-06-19,0,29,,0.0,,0,False,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-63.0
2YM34260,2YM34260,black,2024-01-31,,,2025-06-19,0,29,,0.0,,0,False,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-41.0
2YM34260,2YM34260,black,2024-10-03,2024-10-03,2024-10-03,2025-06-19,1,31,-0.2691,6.0,0.0,0,True,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-63.0
2YM34260,2YM34260,black,2024-10-03,2024-10-03,2024-10-03,2025-06-19,1,31,-0.2691,6.0,0.0,0,True,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-41.0
2YM34260,2YM34260,black,2025-07-30,2025-07-30,2025-07-30,2025-06-19,2,31,-0.2808,3.0,0.0,0,True,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-63.0
2YM34260,2YM34260,black,2025-07-30,2025-07-30,2025-07-30,2025-06-19,2,31,-0.2808,3.0,0.0,0,True,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-41.0
2YM34260,2YM34260,black,2025-10-04,2026-07-31,2026-07-31,2025-06-19,3,29,-0.1961,92.0,300.0,0,False,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-63.0
2YM34260,2YM34260,black,2025-10-04,2026-07-31,2026-07-31,2025-06-19,3,29,-0.1961,92.0,300.0,0,False,-0.2857142857142857,-0.21428571428571427,-0.1724137931034483,0.18131868131876874,66,65,66.0,92,322.0,1.0,-41.0
2YM35227,2YM35227,black,2024-01-30,,,2025-07-03,0,30,,0.0,,0,False,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,4.0
2YM35227,2YM35227,black,2024-01-30,,,2025-07-03,0,30,,0.0,,0,False,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,-17.0
2YM35227,2YM35227,black,2024-10-31,2024-10-31,2024-10-31,2025-07-03,1,34,-0.2417,7.0,0.0,0,True,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,4.0
2YM35227,2YM35227,black,2024-10-31,2024-10-31,2024-10-31,2025-07-03,1,34,-0.2417,7.0,0.0,0,True,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,-17.0
2YM35227,2YM35227,black,2025-07-07,2025-07-20,2025-07-20,2025-07-03,2,28,-0.3825,15.0,13.1,0,False,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,4.0
2YM35227,2YM35227,black,2025-07-07,2025-07-20,2025-07-20,2025-07-03,2,28,-0.3825,15.0,13.1,0,False,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,-17.0
2YM35227,2YM35227,black,2025-10-03,2026-06-28,2026-06-28,2025-07-03,3,31,-0.268,82.0,268.7,0,False,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,4.0
2YM35227,2YM35227,black,2025-10-03,2026-06-28,2026-06-28,2025-07-03,3,31,-0.268,82.0,268.7,0,False,-0.5714285714285714,-0.42857142857142855,-0.3045977011494253,0.26373626373646897,89,88,89.0,82,136.0,1.0,-17.0
3392613691,3392613691,yellow,2024-12-30,,,,0,31,,0.0,,-11,False,0.0,0.0,0.0,0.0,268,264,268.0,92,,,-49.0
3392613691,3392613691,yellow,2025-01-09,2025-01-11,2025-01-22,,1,10,-1.5273,14.0,2.6,-11,False,0.0,0.0,0.0,0.0,268,264,268.0,92,,,-49.0
3392613691,3392613691,yellow,2025-02-28,,,,2,245,,92.0,,-11,False,0.0,0.0,0.0,0.0,268,264,268.0,92,,,-49.0
3392613934,3392613934,black,2025-01-27,2025-01-27,2025-01-27,,0,31,-0.1698,5.0,0.0,0,True,0.0,0.0,0.0,0.0,250,246,250.0,81,,,-7.0
3392613934,3392613934,black,2025-03-03,2025-08-12,2025-08-12,,1,242,-0.4358,81.0,162.9,0,False,0.0,0.0,0.0,0.0,250,246,250.0,81,,,-7.0
35N00727,35N00727,black,2023-09-08,,,2024-10-08,0,2,,0.0,,0,False,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,84.0
35N00727,35N00727,black,2023-09-08,,,2024-10-08,0,2,,0.0,,0,False,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,46.0
35N00727,35N00727,black,2023-12-04,2023-12-04,2023-12-04,2024-10-08,1,39,-1.1772,1.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,84.0
35N00727,35N00727,black,2023-12-04,2023-12-04,2023-12-04,2024-10-08,1,39,-1.1772,1.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,46.0
35N00727,35N00727,black,2024-03-30,2024-03-30,2024-03-30,2024-10-08,2,30,-0.6377,1.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,84.0
35N00727,35N00727,black,2024-03-30,2024-03-30,2024-03-30,2024-10-08,2,30,-0.6377,1.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,46.0
35N00727,35N00727,black,2025-03-03,2025-03-03,2025-03-03,2024-10-08,3,31,-0.2738,4.0,0.0,0,True,-0.42857142857142855,-0.6428571428571429,-0.896551724137931,0.5549450549450599,110,109,110.0,15,54.333333333333336,5.0,84.0
