date_reco;serial;client;contrat;type_livraison;client_code;modele_machine;marque;couleur;toner;ville;code_postal;jours_avant_rupture;date_rupture_estimee;priorite;commentaire
2026-02-19;JPBVK2604Z;;CT001632;contrat_maintenance;;;;cyan;cyan;;;0;2025-04-11;1;Risque de rupture imminent
2026-02-19;JPBVK2604Z;;CT001632;contrat_maintenance;;;;magenta;magenta;;;0;2025-03-31;1;Risque de rupture imminent
2026-02-19;JPBVK2604Z;;CT001632;contrat_maintenance;;;;yellow;yellow;;;0;2025-07-18;1;Risque de rupture imminent
2026-02-19;JPBVK360SY;;CT001647;contrat_maintenance;;;;magenta;magenta;;;0;2025-08-05;1;Risque de rupture imminent
2026-02-19;JPBVK360T1;;CT001646;contrat_maintenance;;;;black;black;;;0;2025-05-11;1;Risque de rupture imminent
2026-02-19;JPBVK360T1;;CT001646;contrat_maintenance;;;;cyan;cyan;;;0;2025-08-04;1;Risque de rupture imminent
2026-02-19;JPBVK360T1;;CT001646;contrat_maintenance;;;;magenta;magenta;;;0;2025-03-21;1;Risque de rupture imminent
2026-02-19;JPBVK360T1;;CT001646;contrat_maintenance;;;;yellow;yellow;;;0;2024-10-08;1;Risque de rupture imminent
2026-02-19;JPBVK3N0TP;;CT001650;contrat_maintenance;;;;black;black;;;0;2025-04-29;1;Risque de rupture imminent
2026-02-19;JPBVK3N0TP;;CT001650;contrat_maintenance;;;;cyan;cyan;;;0;2025-06-13;1;Risque de rupture imminent
2026-02-19;JPBVK3N0TP;;CT001650;contrat_maintenance;;;;magenta;magenta;;;0;2024-12-27;1;Risque de rupture imminent
2026-02-19;JPBVK3N0TP;;CT001650;contrat_maintenance;;;;yellow;yellow;;;0;2025-08-02;1;Risque de rupture imminent
2026-02-19;JPBVK460SW;;CT001656;contrat_maintenance;;;;magenta;magenta;;;0;2024-10-27;1;Risque de rupture imminent
2026-02-19;JPBVK460T0;;CT001643;contrat_maintenance;;;;yellow;yellow;;;0;2025-06-25;1;Risque de rupture imminent
2026-02-19;JPBVK460T0;;CT001647;contrat_maintenance;;;;yellow;yellow;;;0;2025-06-25;1;Risque de rupture imminent
2026-02-19;JPBVK460VK;;CT001657;contrat_maintenance;;;;black;black;;;0;2025-04-11;1;Risque de rupture imminent
2026-02-19;JPBVK460VK;;CT001657;contrat_maintenance;;;;cyan;cyan;;;0;2025-08-20;1;Risque de rupture imminent
2026-02-19;JPBVK460VK;;CT001657;contrat_maintenance;;;;magenta;magenta;;;0;2024-10-16;1;Risque de rupture imminent
2026-02-19;JPBVK460VK;;CT001657;contrat_maintenance;;;;yellow;yellow;;;0;2025-07-31;1;Risque de rupture imminent
2026-02-19;JPBVK460VN;;CT001633;contrat_maintenance;;;;black;black;;;0;2024-09-10;1;Risque de rupture imminent
2026-02-19;JPBVK460VN;;CT001633;contrat_maintenance;;;;cyan;cyan;;;0;2024-07-07;1;Risque de rupture imminent
2026-02-19;JPBVK460VN;;CT001633;contrat_maintenance;;;;magenta;magenta;;;0;2024-09-20;1;Risque de rupture imminent
2026-02-19;JPBVK460VN;;CT001633;contrat_maintenance;;;;yellow;yellow;;;0;2024-06-19;1;Risque de rupture imminent
2026-02-19;JPBVK460W4;;CT001638;contrat_maintenance;;;;black;black;;;0;2025-03-02;1;Risque de rupture imminent
2026-02-19;JPBVK460W4;;CT001638;contrat_maintenance;;;;cyan;cyan;;;0;2025-11-14;1;Risque de rupture imminent
2026-02-19;JPBVK460W4;;CT001638;contrat_maintenance;;;;magenta;magenta;;;0;2025-08-09;1;Risque de rupture imminent
2026-02-19;JPBVK460W4;;CT001638;contrat_maintenance;;;;yellow;yellow;;;0;2025-10-08;1;Risque de rupture imminent
2026-02-19;JPBVK460XL;;CT001634;contrat_maintenance;;;;black;black;;;0;2024-03-11;1;Risque de rupture imminent
2026-02-19;JPBVK460XL;;CT001634;contrat_maintenance;;;;cyan;cyan;;;0;2024-04-06;1;Risque de rupture imminent
2026-02-19;JPBVK460XL;;CT001634;contrat_maintenance;;;;magenta;magenta;;;0;2024-04-02;1;Risque de rupture imminent
2026-02-19;JPBVK460XL;;CT001634;contrat_maintenance;;;;yellow;yellow;;;0;2024-04-05;1;Risque de rupture imminent
2026-02-19;KNDY16397;;CT003416;contrat_maintenance;;;;black;black;;;0;2024-09-22;1;Risque de rupture imminent
2026-02-19;X576062359;;CT002479;contrat_maintenance;;;;black;black;;;0;2026-01-30;1;Risque de rupture imminent
2026-02-19;X576124182;;;commande_simple;;;;magenta;magenta;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;X576124182;;CT003100;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;X576135787;;CT001634;contrat_maintenance;;;;black;black;;;0;2024-12-08;1;Risque de rupture imminent
2026-02-19;X576135787;;CT001634;contrat_maintenance;;;;cyan;cyan;;;0;2025-05-28;1;Risque de rupture imminent
2026-02-19;X576135787;;CT001634;contrat_maintenance;;;;magenta;magenta;;;0;2025-05-26;1;Risque de rupture imminent
2026-02-19;X576135787;;CT001634;contrat_maintenance;;;;yellow;yellow;;;0;2024-11-30;1;Risque de rupture imminent
2026-02-19;X576135855;;CT003087;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X576136429;;CT003132;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-11;1;Risque de rupture imminent
2026-02-19;X576147888;;;commande_simple;;;;black;black;;;0;2026-01-18;1;Risque de rupture imminent
2026-02-19;X576147888;;;commande_simple;;;;cyan;cyan;;;0;2026-01-01;1;Risque de rupture imminent
2026-02-19;X576147888;;;commande_simple;;;;magenta;magenta;;;0;2025-12-09;1;Risque de rupture imminent
2026-02-19;X576147888;;;commande_simple;;;;yellow;yellow;;;0;2026-01-15;1;Risque de rupture imminent
2026-02-19;X576150117;;;commande_simple;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X576150150;;CT004979;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-10;1;Risque de rupture imminent
2026-02-19;X576152189;;;commande_simple;;;;magenta;magenta;;;0;2026-02-07;1;Risque de rupture imminent
2026-02-19;X576152365;;;commande_simple;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;X576152758;;;commande_simple;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;X576152758;;CT003428;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;X57H013328;;CT002732;contrat_maintenance;;;;cyan;cyan;;;0;2025-02-22;1;Risque de rupture imminent
2026-02-19;X57H013328;;CT002732;contrat_maintenance;;;;magenta;magenta;;;0;2024-08-15;1;Risque de rupture imminent
2026-02-19;X57H013328;;CT002732;contrat_maintenance;;;;yellow;yellow;;;0;2024-10-20;1;Risque de rupture imminent
2026-02-19;X57H013384;;CT002735;contrat_maintenance;;;;black;black;;;0;2024-06-27;1;Risque de rupture imminent
2026-02-19;X57H013384;;CT002735;contrat_maintenance;;;;cyan;cyan;;;0;2024-08-28;1;Risque de rupture imminent
2026-02-19;X57H013384;;CT002735;contrat_maintenance;;;;magenta;magenta;;;0;2024-09-02;1;Risque de rupture imminent
2026-02-19;X5UP014999;;;commande_simple;;;;black;black;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X6GN007907;;CT002507;contrat_maintenance;;;;cyan;cyan;;;0;2025-11-06;1;Risque de rupture imminent
2026-02-19;X6GN007907;;CT002507;contrat_maintenance;;;;magenta;magenta;;;0;2025-10-15;1;Risque de rupture imminent
2026-02-19;X6GN008216;;;commande_simple;;;;black;black;;;0;2025-03-23;1;Risque de rupture imminent
2026-02-19;X6GN008216;;;commande_simple;;;;cyan;cyan;;;0;2025-02-11;1;Risque de rupture imminent
2026-02-19;X6GN008216;;;commande_simple;;;;yellow;yellow;;;0;2025-03-17;1;Risque de rupture imminent
2026-02-19;X6GN008969;;CT002531;contrat_maintenance;;;;black;black;;;0;2025-12-01;1;Risque de rupture imminent
2026-02-19;X6GN008969;;;commande_simple;;;;black;black;;;0;2025-12-01;1;Risque de rupture imminent
2026-02-19;X6GN008969;;CT000747;contrat_maintenance;;;;black;black;;;0;2025-12-01;1;Risque de rupture imminent
2026-02-19;X6GN008969;;CT002531;contrat_maintenance;;;;cyan;cyan;;;0;2025-12-03;1;Risque de rupture imminent
2026-02-19;X6GN008969;;;commande_simple;;;;cyan;cyan;;;0;2025-12-03;1;Risque de rupture imminent
2026-02-19;X6GN008969;;CT000747;contrat_maintenance;;;;cyan;cyan;;;0;2025-12-03;1;Risque de rupture imminent
2026-02-19;X6GN009498;;CT002545;contrat_maintenance;;;;black;black;;;0;2025-09-15;1;Risque de rupture imminent
2026-02-19;X6GN009498;;CT002545;contrat_maintenance;;;;cyan;cyan;;;0;2025-02-19;1;Risque de rupture imminent
2026-02-19;X6GN009498;;CT002545;contrat_maintenance;;;;magenta;magenta;;;0;2025-11-03;1;Risque de rupture imminent
2026-02-19;X6GN009511;;CT002551;contrat_maintenance;;;;cyan;cyan;;;0;2025-11-08;1;Risque de rupture imminent
2026-02-19;X6GN009511;;CT002551;contrat_maintenance;;;;magenta;magenta;;;0;2025-11-01;1;Risque de rupture imminent
2026-02-19;X6GN009512;;CT002553;contrat_maintenance;;;;black;black;;;0;2025-03-11;1;Risque de rupture imminent
2026-02-19;X6GN009512;;CT002553;contrat_maintenance;;;;cyan;cyan;;;0;2025-11-07;1;Risque de rupture imminent
2026-02-19;X6GN009512;;CT002553;contrat_maintenance;;;;magenta;magenta;;;0;2025-08-03;1;Risque de rupture imminent
2026-02-19;X6GN013504;;;commande_simple;;;;yellow;yellow;;;0;2025-12-28;1;Risque de rupture imminent
2026-02-19;X6GN013504;;CT003205;contrat_maintenance;;;;yellow;yellow;;;0;2025-12-28;1;Risque de rupture imminent
2026-02-19;X6GN013504;;CT004235;contrat_maintenance;;;;yellow;yellow;;;0;2025-12-28;1;Risque de rupture imminent
2026-02-19;X6GN014334;;CT002567;contrat_maintenance;;;;cyan;cyan;;;0;2026-01-18;1;Risque de rupture imminent
2026-02-19;X6GN014334;;CT002371;contrat_maintenance;;;;cyan;cyan;;;0;2026-01-18;1;Risque de rupture imminent
2026-02-19;X6GN015789;;CT002625;contrat_maintenance;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;X6GN015789;;CT002625;contrat_maintenance;;;;yellow;yellow;;;0;2025-12-20;1;Risque de rupture imminent
2026-02-19;X6GN016615;;;commande_simple;;;;cyan;cyan;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;X6GN019887;;;commande_simple;;;;cyan;cyan;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;X6GN022942;;CT003328;contrat_maintenance;;;;black;black;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;X74R004496;;CT003033;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;X74R004496;;CT003033;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-14;1;Risque de rupture imminent
2026-02-19;X74R004646;;;commande_simple;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X74R004646;;CT002599;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X74R004646;;CT004220;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X74R005479;;CT003603;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X74R005479;;CT004127;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;X74R005482;;CT004128;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-14;1;Risque de rupture imminent
2026-02-19;X74R005540;;CT004131;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;X74R005540;;CT004131;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;X74R005540;;CT004131;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;X75G001952;;CT002790;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-12;1;Risque de rupture imminent
2026-02-19;XAUV000003;;;commande_simple;;;;yellow;yellow;;;0;2025-06-30;1;Risque de rupture imminent
2026-02-19;XAUV000003;;CT002670;contrat_maintenance;;;;yellow;yellow;;;0;2025-06-30;1;Risque de rupture imminent
2026-02-19;XAUV000052;;CT002803;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-19;XAUV000052;;CT002803;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV000313;;;commande_simple;;;;magenta;magenta;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV000313;;CT002715;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV000395;;;commande_simple;;;;cyan;cyan;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;XAUV000395;;CT003002;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;XAUV000804;;;commande_simple;;;;magenta;magenta;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV000804;;CT002885;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV002199;;CT002958;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-10;1;Risque de rupture imminent
2026-02-19;XAUV004214;;;commande_simple;;;;black;black;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;XAUV004214;;CT003110;contrat_maintenance;;;;black;black;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;XAUV004806;;CT003090;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-13;1;Risque de rupture imminent
2026-02-19;XAUV004866;;;commande_simple;;;;magenta;magenta;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;XAUV004866;;CT003199;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-19;1;Risque de rupture imminent
2026-02-19;XAUV004866;;;commande_simple;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV004866;;CT003199;contrat_maintenance;;;;yellow;yellow;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-19;XAUV005166;;CT003270;contrat_maintenance;;;;black;black;;;0;2025-07-31;1;Risque de rupture imminent
2026-02-19;XAUV005166;;CT003270;contrat_maintenance;;;;magenta;magenta;;;0;2024-10-04;1;Risque de rupture imminent
2026-02-19;XAUV005166;;CT003270;contrat_maintenance;;;;yellow;yellow;;;0;2025-05-25;1;Risque de rupture imminent
2026-02-19;XAUV005244;;;commande_simple;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;XAUV005244;;CT004318;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;XAUV005244;;CT004238;contrat_maintenance;;;;cyan;cyan;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;XAUV005402;;CT003109;contrat_maintenance;;;;black;black;;;0;2026-02-18;1;Risque de rupture imminent
2026-02-19;XAUV005421;;CT003066;contrat_maintenance;;;;black;black;;;0;2026-02-17;1;Risque de rupture imminent
2026-02-19;XAUV005424;;CT003059;contrat_maintenance;;;;magenta;magenta;;;0;2026-02-10;1;Risque de rupture imminent
2026-02-19;XAUV005830;;CT003507;contrat_maintenance;;;;black;black;;;0;2025-08-21;1;Risque de rupture imminent
2026-02-19;XAUV005830;;CT003507;contrat_maintenance;;;;cyan;cyan;;;0;2025-02-04;1;Risque de rupture imminent
2026-02-19;XAUV005830;;CT003507;contrat_maintenance;;;;magenta;magenta;;;0;2025-02-02;1;Risque de rupture imminent
