serial;serial_norm;relation_type;color;cycle_id;points_used;slope_pct_per_day;level_now_pct;days_left_est;last_seen;stockout_date;offset_days;reorder_date;should_order_now;rs_n_cycles;rs_mean_cycle_len_days;rs_max_cycle_len_days;rs_last_seen;rs_last_reset;rs_days_since_last_reset;rs_has_reset;us_mean_daily_pct_drop;us_median_daily_pct_drop;us_peak_daily_pct_drop;us_mean_pct_drop_per_cycle;us_has_usage_data;m_total_pages;m_n_records;m_ratio_color;m_ratio_a3;m_daily_mean;m_daily_std;m_total_pages_last30;m_total_pages_last7;month;dayofweek;week;ml_offset_days_v21;last_seen_dt;stockout_date_ml_v21;days_left_ml_v21;reference_date;days_left_v21
$X6GN008367$;$X6GN008367$;contrat_adex;cyan;5;29;-0.205;1.0;4.9;2025-12-30 14:18:00;2026-01-04;1;2026-01-03;True;6;110.66666666666667;145;2025-12-30 14:18:00;2025-09-12 14:18:00;109.0;1;1.0017489711934155;1.0;9.0;90.83333333333333;1.0;;;;;;;;;12;1;1;1.0285702;2025-12-30 14:18:00;2026-01-05 00:41:08.463134765;5.0;2025-12-30 14:18:00;5.0
$X6GN008969$;$X6GN008969$;contrat_adex;black;1;353;-0.2327;92.0;300.0;2025-02-05 15:34:00;2025-12-02;0;2025-12-02;False;2;365.0;682;2025-02-05 15:34:00;2024-12-20 14:34:00;47.0;1;0.14796475358702432;0.0;1.0;46.5;1.0;;;;;;;;;2;2;6;0.6591686;2025-02-05 15:34:00;2025-12-02 15:49:12.167129519;300.0;2025-02-05 15:34:00;0.0
$X6GN008969$;$X6GN008969$;contrat_adex;cyan;2;353;-0.2888;88.0;300.0;2025-02-05 15:34:00;2025-12-02;1;2025-12-01;False;3;243.0;623;2025-02-05 15:34:00;2024-12-20 14:34:00;47.0;1;0.15844795248515162;0.0;1.0;36.0;1.0;;;;;;;;;2;2;6;0.77843255;2025-02-05 15:34:00;2025-12-02 18:40:56.572151183;300.0;2025-02-05 15:34:00;0.0
$X6GN009498$;$X6GN009498$;contrat_adex;black;3;371;-0.1746;43.0;246.3;2025-01-13 14:23:00;2025-09-16;0;2025-09-16;False;4;159.75;264;2025-01-13 14:23:00;2024-04-24 14:33:00;263.0;1;0.3189845474613687;0.0;2.0;52.75;1.0;;;;;;;;;1;0;3;-0.08255466;2025-01-13 14:23:00;2025-09-15 22:01:07.277312281;245.0;2025-01-13 14:23:00;0.0
$X6GN009498$;$X6GN009498$;contrat_adex;cyan;1;371;-0.1335;5.0;37.5;2025-01-13 14:23:00;2025-02-20;1;2025-02-19;False;2;319.5;541;2025-01-13 14:23:00;2023-07-22 14:33:00;540.0;1;0.20044052863436124;0.0;10.0;47.0;1.0;;;;;;;;;1;0;3;0.004535568;2025-01-13 14:23:00;2025-02-20 00:06:31.873070594;37.0;2025-01-13 14:23:00;0.0
$X6GN009498$;$X6GN009498$;contrat_adex;magenta;2;371;-0.1222;94.0;300.0;2025-01-13 14:23:00;2025-11-09;-8;2025-11-17;False;3;201.33333333333334;485;2025-01-13 14:23:00;2024-12-20 14:33:00;23.0;1;0.1905286343612335;0.0;3.0;32.333333333333336;1.0;;;;;;;;;1;0;3;-6.3917556;2025-01-13 14:23:00;2025-11-02 14:35:52.317810059;293.0;2025-01-13 14:23:00;0.0
$X6GN009511$;$X6GN009511$;contrat_adex;cyan;1;371;-0.1094;34.0;300.0;2025-01-13 14:23:00;2025-11-09;1;2025-11-08;False;2;319.5;471;2025-01-13 14:23:00;2023-09-30 14:33:00;470.0;1;0.13596491228070176;0.0;5.0;32.5;1.0;;;;;;;;;1;0;3;-2.8159664;2025-01-13 14:23:00;2025-11-06 04:25:00.505828854;296.0;2025-01-13 14:23:00;0.0
$X6GN009511$;$X6GN009511$;contrat_adex;magenta;2;371;-0.1178;69.0;300.0;2025-01-13 14:23:00;2025-11-09;-8;2025-11-17;False;3;213.0;432;2025-01-13 14:23:00;2024-07-22 14:33:00;174.0;1;0.17105263157894737;0.0;4.0;37.0;1.0;;;;;;;;;1;0;3;-7.9521255;2025-01-13 14:23:00;2025-11-01 01:08:56.352539064;291.0;2025-01-13 14:23:00;0.0
$X6GN009512$;$X6GN009512$;contrat_adex;black;1;371;-0.1496;9.0;60.2;2025-01-13 14:23:00;2025-03-14;0;2025-03-14;False;2;320.0;568;2025-01-13 14:23:00;2023-06-26 12:33:00;567.0;1;0.1693548387096774;0.0;2.0;45.0;1.0;;;;;;;;;1;0;3;-4.4538465;2025-01-13 14:23:00;2025-03-09 13:06:27.666320798;54.0;2025-01-13 14:23:00;0.0
$X6GN009512$;$X6GN009512$;contrat_adex;cyan;2;371;-0.1246;92.0;300.0;2025-01-13 14:23:00;2025-11-09;1;2025-11-08;False;3;201.33333333333334;548;2025-01-13 14:23:00;2024-12-20 14:33:00;23.0;1;0.16129032258064516;0.0;5.0;29.666666666666668;1.0;;;;;;;;;1;0;3;-0.39779094;2025-01-13 14:23:00;2025-11-08 14:27:10.862903595;299.0;2025-01-13 14:23:00;0.0
$X6GN009512$;$X6GN009512$;contrat_adex;magenta;1;371;-0.1283;27.0;210.4;2025-01-13 14:23:00;2025-08-11;-8;2025-08-19;False;2;298.5;494;2025-01-13 14:23:00;2023-09-07 14:33:00;493.0;1;0.17626728110599077;0.0;2.0;35.5;1.0;;;;;;;;;1;0;3;-7.8846045;2025-01-13 14:23:00;2025-08-03 02:46:10.175170901;201.0;2025-01-13 14:23:00;0.0
$X6GN013504$;$X6GN013504$;contrat_adex;yellow;1;123;-0.1297;16.0;123.4;2025-09-05 10:19:00;2026-01-06;-11;2026-01-17;False;2;466.5;854;2025-09-05 10:19:00;2023-05-05 14:31:00;853.0;1;0.07281403940886699;0.0;2.0;41.5;1.0;;;;;;;;;9;4;36;-10.508096;2025-09-05 10:19:00;2025-12-26 11:48:20.527954100;112.0;2025-09-05 10:19:00;0.0
$X6GN015789$;$X6GN015789$;contrat_adex;yellow;1;92;-0.1157;7.0;60.5;2025-10-29 16:34:00;2025-12-29;-11;2026-01-09;False;2;486.0;917;2025-10-29 16:34:00;2023-04-27 14:34:00;916.0;1;0.13898684997011357;0.0;3.0;45.5;1.0;;;;;;;;;10;2;44;-8.958431;2025-10-29 16:34:00;2025-12-20 00:59:51.540527343;51.0;2025-10-29 16:34:00;0.0
$X6GN022942$;$X6GN022942$;contrat_adex;black;5;30;-1.5786;1.0;0.6;2025-12-30 14:43:00;2025-12-31;0;2025-12-31;True;6;94.83333333333333;330;2025-12-30 14:43:00;2025-10-29 14:43:00;62.0;1;0.9686971235194586;1.0;10.0;80.5;1.0;;;;;;;;;12;1;1;0.2085841;2025-12-30 14:43:00;2025-12-31 05:00:21.666240691;0.0;2025-12-30 14:43:00;0.0
$X74R003814$;$X74R003814$;contrat_adex;magenta;2;30;-0.1176;2.0;17.0;2025-12-30 14:24:00;2026-01-16;-8;2026-01-24;False;3;352.3333333333333;420;2025-12-30 14:24:00;2024-11-20 14:15:00;405.0;1;0.2585557299843014;0.0;12.0;83.66666666666667;1.0;;;;;;;;;12;1;1;-8.849444;2025-12-30 14:24:00;2026-01-07 03:36:48.004760739;7.0;2025-12-30 14:24:00;7.0
$X74R003821$;$X74R003821$;contrat_adex;cyan;1;126;-0.2712;8.0;29.5;2025-09-12 17:02:00;2025-10-12;1;2025-10-11;False;2;474.0;899;2025-09-12 17:02:00;2023-03-29 14:35:00;898.0;1;0.5258896151053014;0.0;9.0;60.5;1.0;;;;;;;;;9;4;37;-0.543677;2025-09-12 17:02:00;2025-10-11 10:57:06.309585574;28.0;2025-09-12 17:02:00;0.0
$X74R003821$;$X74R003821$;contrat_adex;magenta;1;126;-0.1943;3.0;15.4;2025-09-12 17:02:00;2025-09-28;-8;2025-10-06;False;2;474.5;869;2025-09-12 17:02:00;2023-04-28 14:35:00;868.0;1;0.47017066085693543;0.0;9.0;70.5;1.0;;;;;;;;;9;4;37;-8.884576;2025-09-12 17:02:00;2025-09-19 02:46:12.647094730;6.0;2025-09-12 17:02:00;0.0
